,SVD_1,SVD_2,SVD_3,SVD_4,SVD_5,SVD_6,SVD_7,SVD_8,SVD_9,SVD_10,SVD_11,SVD_12,SVD_13,SVD_14,SVD_15,SVD_16,SVD_17,SVD_18,SVD_19,SVD_20,SVD_21,SVD_22,SVD_23,SVD_24,SVD_25
UK52A,208.35463078060891,35.03420383350142,301.0540649838871,345.29052452010643,1804.6264550452158,-1010.8769213924357,949.00276408537,-784.5257849853515,-531.4255096515236,-198.37724897826098,-193.05223630381536,248.96454799460793,-122.89599264480051,-160.1320420783261,-340.2829106866704,210.46443840567426,-196.6350417749343,34.19011013518652,-76.30171132938821,162.60551282245214,93.46411310475777,20.156705286788224,14.151412110564936,-98.62227846326034,-285.9872359786046
SE1A,170.00858611601944,200.9565664554314,1816.3213805114294,72.46476722765686,768.7641566205527,-356.03444180806883,419.96927838541535,-304.8156856801697,-202.84538387719243,-54.153943098693645,-78.81467153905696,90.51637620194674,-133.47739894875014,-65.09942175514561,-116.95760349388264,-81.61202609860884,134.39544307584922,-556.5206221682083,33.83244791079115,-34.20039957356814,-236.56637561996186,156.41096496360203,314.23635987002206,-206.60365552893782,136.17343950155555
SE2A,358.44333158246525,914.8777041301233,1837.0828847171429,-17.25959926183629,497.96271661004295,-232.26148084910855,291.77137698161647,-125.37071257685284,-20.979316865621225,20.252563981577563,-116.12883695802083,121.44144724035188,-52.55120531042836,-26.57756140158306,-166.9178223752964,-17.339381363707467,51.066537010849814,-314.00114979931556,78.1024152165423,-137.7526476971919,-127.91092996146442,-57.156737815374385,206.170253833186,-34.83691422839476,-48.72687332639728
SE3A,140.2726250594862,162.93788649525214,1900.114889749404,27.55180743075705,612.8612814219247,-275.3834113005486,343.7897031844482,-139.2354195409039,-21.78455642875332,59.0088327566642,-158.7476478228729,163.5308506247829,-96.75228187802743,-0.04326689137033246,-218.080152403086,1.6895947277352958,52.48305032746002,-424.1436063925895,106.08824255506137,-204.31713989501517,-133.01521670563056,-50.832426830491585,237.89482225351162,-26.538220581551776,-110.99323304228038
SE4A,149.1648027908124,119.33866681147796,1440.2008473616033,75.76655962312913,819.9179641071863,-364.39225672996076,440.46283065437876,-248.30621993277046,-157.52567617636873,-6.323568622615826,-100.53546755482562,115.51409096325067,-131.15499903512995,-68.27064507216639,-107.33936355996985,-116.32257818379964,187.98981281255976,-633.8854991122256,58.1747141956837,-66.68637998896193,-274.2900943251045,160.56160346973695,346.36159011651944,-174.46217615663465,81.6630623095963
SE5A,354.60431159707286,913.1134935525372,1343.6321483799425,1.369229224838531,508.84805715474556,-201.31019979296454,277.19762134246093,-105.37635523802805,-11.522898872354473,68.00269555799686,-128.53040705306208,119.29789839155319,-69.44655150030702,6.061737038913059,-143.84956991539337,2.0133912124721043,69.23852334802766,-341.0158534120288,80.42738724742003,-121.68496253780592,-160.2117284262803,-50.18656065983513,222.7765500119049,-6.077351032058623,-75.10542007513985
SE6A,327.2520273605236,811.8669969018018,1279.2049572398457,-6.722740140390078,479.66603611322563,-225.62751287615401,278.718902223647,-94.66296290477337,-22.166425004437574,66.79985166867145,-119.3368407926988,104.48487669043563,-77.97996487450362,21.59648394584717,-119.70496219078693,-26.510368078062704,104.46374850834948,-376.20804807087256,75.36019061067843,-112.98805232084085,-167.2039576746788,-33.195669789656,215.7016594244063,-11.900703951688458,-82.89323650033242
SE7A,103.39680445873532,102.1310983325599,1229.758998745418,41.685321974174094,578.7725221147412,-320.5607984011095,342.32656060400024,-173.73736715553326,-117.17212071082173,36.84786742571227,-49.433396479984275,130.40719940006042,-123.95889160999187,-1.6067780075555234,-119.7471958095017,-55.758163892970494,146.4745256362244,-459.894726467961,43.63336040916413,-68.94235346399627,-168.66458582061583,74.81045000402263,236.04760109153068,-103.4974311662794,44.1185070212131
SE8A,228.29601870649984,418.9253383067753,1363.5769028323027,28.657784997369536,687.2630807906509,-288.9982912705882,385.1488247055803,-95.22635198370718,-184.19845543409258,274.8557020336392,166.4400155303848,259.3500243650916,-214.36235317903618,268.13737963374416,-34.90437387028871,-124.89880456673895,165.66460143624067,-539.2676348588495,41.727723192229455,-48.59738234765692,-189.19889293256483,63.96628533417186,286.2811010453073,-126.27348546060337,-3.355629750982549
SE9A,395.42019576266875,1060.0448021988411,975.2893204400989,-2.626785727034406,600.4665571335668,-277.2526641384537,365.2839630123522,-18.21756154437388,-202.34372793411453,383.094919003308,172.22457589584909,334.04732300383034,-240.14974990033448,386.84347385209713,-94.9656330842252,-63.45736565361986,96.15390828485882,-431.4545662652786,49.74428974250466,-77.1291717704032,-136.61611453180652,1.7104038145437364,226.51640647774877,-57.729302730553655,-51.185340058561124
